"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"643",643,181855,"Cluster_18728","FUN_029602",-0.892392843466376,0.0416829538043013,0.96546924320845,156,-20.78,"2 21","281 302",19,"68.42%","73.68%","ptg000023l:3630545-3632750","E7FAM5","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","Danio rerio (Zebrafish) (Brachydanio rerio)","embryonic body morphogenesis [GO:0010172]; fibroblast growth factor receptor signaling pathway [GO:0008543]; G1/S transition of mitotic cell cycle [GO:0000082]; miRNA metabolic process [GO:0010586]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; neural tube development [GO:0021915]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of neural precursor cell proliferation [GO:2000177]; stem cell proliferation [GO:0072089]","GO:0000082; GO:0000209; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010172; GO:0010586; GO:0017148; GO:0021915; GO:0030371; GO:0035198; GO:0035278; GO:0043161; GO:0051865; GO:0060964; GO:0061630; GO:0072089; GO:2000177"
"659",659,187879,"Cluster_5981","FUN_016608",0.994627225901417,0.000472369028023397,0.467545540101175,160,-20.92,"2 21","477 497",19,"78.95%","84.21%",NA,NA,NA,NA,NA,NA
"670",670,190935,"Cluster_15854","FUN_013364",-0.971490463332523,0.00575377810454247,0.627193380257548,168,-20.23,"2 22","888 911",21,"71.43%","85.71%","ptg000008l:21687329-21690843","Q5ZIT5","Ras-related protein Rab-10 (EC 3.6.5.2)","Gallus gallus (Chicken)","axonogenesis [GO:0007409]; cellular response to insulin stimulus [GO:0032869]; endoplasmic reticulum tubular network organization [GO:0071786]; endosomal transport [GO:0016197]; establishment of neuroblast polarity [GO:0045200]; establishment of protein localization to endoplasmic reticulum membrane [GO:0097051]; Golgi to plasma membrane protein transport [GO:0043001]; Golgi to plasma membrane transport [GO:0006893]; polarized epithelial cell differentiation [GO:0030859]; protein localization to basolateral plasma membrane [GO:1903361]; protein localization to plasma membrane [GO:0072659]; protein secretion [GO:0009306]; regulation of exocytosis [GO:0017157]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport [GO:0016192]","GO:0003924; GO:0003925; GO:0005525; GO:0005768; GO:0005789; GO:0005794; GO:0005802; GO:0005886; GO:0005929; GO:0006893; GO:0006904; GO:0007409; GO:0008021; GO:0009306; GO:0016192; GO:0016197; GO:0017157; GO:0019003; GO:0030670; GO:0030859; GO:0031489; GO:0032593; GO:0032869; GO:0043001; GO:0043231; GO:0045200; GO:0048471; GO:0055037; GO:0055038; GO:0071782; GO:0071786; GO:0072659; GO:0097051; GO:1903361"
"705",705,202699,"Cluster_5981","FUN_026122",0.965113242711184,0.00778106354057353,0.677079544727381,168,-23.28,"2 22","654 678",22,"63.64%","90.91%",NA,NA,NA,NA,NA,NA
"736",736,208619,"Cluster_3366","FUN_013080",0.888310868864341,0.0440491206471639,0.96546924320845,153,-21.45,"2 19","466 490",18,"61.11%","88.89%",NA,NA,NA,NA,NA,NA
"748",748,212137,"Cluster_5981","FUN_024529",-0.973898923067543,0.00504212756126728,0.595990930925003,152,-22.75,"2 20","563 590",23,"69.57%","78.26%","ptg000018l:7921854-7947207","Q80XJ3","Tetratricopeptide repeat protein 28 (TPR repeat protein 28)","Mus musculus (Mouse)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0005737; GO:0005813; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686; GO:0097431; GO:1990023"
"768",768,219071,"Cluster_3366","FUN_020765",0.888310868864341,0.0440491206471639,0.96546924320845,169,-21.17,"2 21","473 496",20,"80.00%","90.00%",NA,NA,NA,NA,NA,NA
"783",783,222732,"Cluster_1862","FUN_003478",-0.987158026110664,0.00174358522915539,0.545343267336266,173,-20.12,"2 23","798 823",23,"69.57%","86.96%",NA,NA,NA,NA,NA,NA
"803",803,228187,"Cluster_18728","FUN_013292",-0.958719638413883,0.0100055624471572,0.717681557663573,170,-25.71,"2 21","299 319",19,"78.95%","89.47%",NA,NA,NA,NA,NA,NA
"804",804,228635,"Cluster_10051","FUN_041625",0.979681354691911,0.00346615436725054,0.545343267336266,164,-22.47,"2 21","954 975",19,"68.42%","84.21%",NA,NA,NA,NA,NA,NA
"827",827,232760,"Cluster_3366","FUN_005016",0.888310868864341,0.0440491206471639,0.96546924320845,170,-25.67,"2 19","29 52",17,"76.47%","94.12%",NA,NA,NA,NA,NA,NA
"829",829,232901,"Cluster_16409","FUN_035124",0.897831046991203,0.0385959833026285,0.96546924320845,154,-21.27,"2 20","812 839",24,"62.50%","75.00%","ptg000025l:4221477-4225366","Q8BHB0","Nucleotide-binding oligomerization domain-containing protein 1 (Caspase recruitment domain-containing protein 4)","Mus musculus (Mouse)","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; cellular response to muramyl dipeptide [GO:0071225]; defense response to bacterium [GO:0042742]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; ERK1 and ERK2 cascade [GO:0070371]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of cell death [GO:0010942]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of nitric-oxide synthase activity [GO:0051000]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of xenophagy [GO:1904417]; regulation of apoptotic process [GO:0042981]; stress-activated MAPK cascade [GO:0051403]; xenophagy [GO:0098792]","GO:0002221; GO:0002606; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006915; GO:0006919; GO:0007249; GO:0007254; GO:0010942; GO:0016045; GO:0016323; GO:0016324; GO:0032731; GO:0032755; GO:0032757; GO:0032760; GO:0032874; GO:0035556; GO:0038187; GO:0042742; GO:0042802; GO:0042803; GO:0042981; GO:0043123; GO:0043280; GO:0044877; GO:0045087; GO:0045335; GO:0046330; GO:0050700; GO:0050830; GO:0051000; GO:0051092; GO:0051403; GO:0060907; GO:0070371; GO:0070374; GO:0071225; GO:0098792; GO:1901224; GO:1904417"
"865",865,245911,"Cluster_5981","FUN_038089",0.881461368085258,0.0481112842362314,0.96546924320845,145,-21.45,"2 10","54 76",8,"100.00%","100.00%","ptg000027l:2252413-2253073","Q5PR73","GTP-binding protein Di-Ras2 (Distinct subgroup of the Ras family member 2)","Mus musculus (Mouse)","signal transduction [GO:0007165]","GO:0003924; GO:0005525; GO:0005886; GO:0007165; GO:0019003"
"874",874,247487,"Cluster_16409","FUN_001557",0.918650189158978,0.0275104069554112,0.914225011702335,148,-20.39,"2 20","848 874",23,"65.22%","78.26%","ntLink_6:13734780-13735842","P35406","D(1) dopamine receptor (Dopamine D1 receptor)","Carassius auratus (Goldfish)","regulation of biological quality [GO:0065008]","GO:0004930; GO:0005886; GO:0065008"
"926",926,262750,"Cluster_3250","FUN_006047",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","103 125",20,"80.00%","90.00%",NA,NA,NA,NA,NA,NA
"934",934,265281,"Cluster_1862","FUN_037230",0.938426896439605,0.0181705523275463,0.847898695599974,173,-20.07,"2 23","814 838",22,"72.73%","86.36%",NA,NA,NA,NA,NA,NA
"968",968,276703,"Cluster_18728","FUN_001066",-0.928799836792751,0.0225611843017344,0.902348283694733,156,-24.73,"2 21","518 539",19,"57.89%","84.21%",NA,NA,NA,NA,NA,NA
"982",982,280387,"Cluster_5981","FUN_017959",0.899732687616379,0.0375345236466155,0.96546924320845,160,-21.39,"2 22","603 628",23,"65.22%","78.26%",NA,NA,NA,NA,NA,NA
"983",983,280433,"Cluster_14402","FUN_022526",0.922321225378356,0.0256839204452313,0.914225011702335,153,-20.09,"2 20","655 678",20,"70.00%","80.00%",NA,NA,NA,NA,NA,NA
"1015",1015,288919,"Cluster_3250","FUN_023956",0.942012341638402,0.0166158734514718,0.837006715321312,157,-23.35,"2 21","21 42",20,"70.00%","85.00%","ptg000018l:544271-552731","Q58A65","C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (JNK-associated leucine-zipper protein) (JLP) (JNK/SAPK-associated protein 2) (JSAP2) (Mitogen-activated protein kinase 8-interacting protein 4) (Sperm-associated antigen 9)","Mus musculus (Mouse)","lysosome localization [GO:0032418]; negative regulation of dendrite extension [GO:1903860]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of cell migration [GO:0030335]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron differentiation [GO:0045666]; retrograde transport, endosome to Golgi [GO:0042147]; striated muscle cell differentiation [GO:0051146]; vesicle-mediated transport [GO:0016192]","GO:0001933; GO:0005078; GO:0005737; GO:0005765; GO:0005829; GO:0008432; GO:0016192; GO:0019894; GO:0030159; GO:0030335; GO:0032418; GO:0034451; GO:0042147; GO:0042802; GO:0043410; GO:0045665; GO:0045666; GO:0048471; GO:0051146; GO:1903860"
"1019",1019,290342,"Cluster_15340","FUN_043619",0.944683231412696,0.0154875356468844,0.816817349985554,153,-22.28,"2 15","705 728",15,"80.00%","86.67%","ptg000047l:10872837-10882525","Q6DJ06","LIM domain transcription factor LMO4.2 (LIM domain only protein 4.2) (LMO-4.2)","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","cell differentiation [GO:0030154]; gastrulation [GO:0007369]; mesoderm development [GO:0007498]; negative regulation of neuron differentiation [GO:0045665]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]","GO:0003712; GO:0007369; GO:0007399; GO:0007498; GO:0030154; GO:0045665; GO:0045944; GO:0046872"
"1021",1021,290628,"Cluster_19193","FUN_043612",0.911230385834477,0.0313228601641537,0.927609281109268,178,-32.5,"2 21","463 483",19,"89.47%","89.47%","ptg000047l:10773842-10774451","P35621","Protein DVR-1","Danio rerio (Zebrafish) (Brachydanio rerio)","axis specification [GO:0009798]; BMP signaling pathway [GO:0030509]; convergent extension involved in gastrulation [GO:0060027]; heart looping [GO:0001947]; left/right pattern formation [GO:0060972]; neuron development [GO:0048666]; nodal signaling pathway [GO:0038092]; positive regulation of cell division [GO:0051781]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; regulation of epiboly involved in gastrulation with mouth forming second [GO:1904086]; regulation of nodal signaling pathway involved in determination of left/right asymmetry [GO:1900145]; SMAD protein signal transduction [GO:0060395]","GO:0001947; GO:0005125; GO:0005615; GO:0008083; GO:0009798; GO:0010862; GO:0030509; GO:0032991; GO:0038092; GO:0048666; GO:0051781; GO:0060027; GO:0060395; GO:0060972; GO:1900145; GO:1904086"
"1037",1037,297329,"Cluster_16409","FUN_004030",-0.960360362974489,0.00941735834402992,0.717681557663573,168,-21.04,"2 17","27 48",15,"86.67%","93.33%",NA,NA,NA,NA,NA,NA
"1062",1062,302796,"Cluster_19193","FUN_037708",0.97837155759896,0.00380590308574924,0.545343267336266,159,-21.45,"2 21","392 415",21,"71.43%","76.19%",NA,NA,NA,NA,NA,NA
"1076",1076,306704,"Cluster_3366","FUN_040868",0.888310868864341,0.0440491206471639,0.96546924320845,157,-20.2,"2 23","90 114",22,"63.64%","77.27%",NA,NA,NA,NA,NA,NA
"1089",1089,308553,"Cluster_14768","FUN_000845",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%",NA,NA,NA,NA,NA,NA
"1090",1090,308553,"Cluster_14768","FUN_000845",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%",NA,NA,NA,NA,NA,NA
"1105",1105,315526,"Cluster_5981","FUN_026892",0.965113242711184,0.00778106354057356,0.677079544727381,157,-20.81,"2 22","48 70",20,"60.00%","80.00%",NA,NA,NA,NA,NA,NA
"1120",1120,321046,"Cluster_18728","FUN_040469",-0.958719638413883,0.0100055624471572,0.717681557663573,157,-26.06,"2 16","646 666",14,"85.71%","92.86%",NA,NA,NA,NA,NA,NA
"1152",1152,328484,"Cluster_15340","FUN_023778",-0.886287505512474,0.0452372569377336,0.96546924320845,165,-23.89,"2 14","482 503",12,"100.00%","100.00%",NA,NA,NA,NA,NA,NA
"1172",1172,333201,"Cluster_14768","FUN_008327",-0.969079550705252,0.00649647778506713,0.657963653091088,158,-21.33,"2 19","645 665",17,"64.71%","88.24%",NA,NA,NA,NA,NA,NA
"1177",1177,333905,"Cluster_15340","FUN_003440",0.967855742230399,0.00688468077332657,0.671934042973242,154,-24.38,"2 21","823 843",19,"63.16%","84.21%",NA,NA,NA,NA,NA,NA
